hablar; speak
cantar; sing
nadar; swim
trabajar; work
estudiar; study
caminar; walk
bailar; dance
cocinar; cook
escuchar; listen
viajar; travel
comprar; buy
llamar; call
enseñar; teach
visitar; visit
ayudar; help
limpiar; clean
usar; use
mirar; watch/look
buscar; search
llegar; arrive
cambiar; change
entrar; enter
esperar; wait/hope
tomar; take/drink
preguntar; ask
necesitar; need
saltar; jump
pagar; pay
dibujar; draw
cortar; cut

comer; eat
beber; drink
aprender; learn
correr; run
leer; read
vender; sell
temer; fear
comprender; understand
responder; answer
depender; depend
barrer; sweep
creer; believe
romper; break
prometer; promise
toser; cough
esconder; hide
deber; owe/must
poseer; possess
sorprender; surprise
proceder; proceed
suceder; happen
meter; put in
tejer; knit
absorber; absorb
coser; sew
encender; light/turn on
envolver; wrap

vivir; live
escribir; write
abrir; open
recibir; receive
permitir; allow/permit
decidir; decide
cubrir; cover
compartir; share
asistir; attend
subir; go up/climb
describir; describe
insistir; insist
sufrir; suffer
prohibir; prohibit
omitir; omit
aplaudir; applaud
cumplir; fulfill/complete
descubrir; discover
unir; unite
partir; leave/part
discutir; discuss/argue
transmitir; transmit
imprimir; print
admitir; admit
persistir; persist
consumir; consume
resumir; summarize
escupir; spit
ocurrir; occur
